Player,Team,Age,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,BrkTkl,Rec/Br,Drop,Drop%
Golden Tate,NYG,31,WR,11,10,85,49,676,30,392,8,284,5.8,3,16.3,3,3.5
A.J. Brown,TEN,22,WR,16,11,84,52,1051,39,586,11.3,465,8.9,8,6.5,2,2.4
Darius Slayton,NYG,22,WR,14,9,84,48,740,32,551,11.5,189,3.9,5,9.6,2,2.4
Jason Witten,DAL,37,TE,16,16,83,63,529,27,367,5.8,162,2.6,0,,6,7.2
Sterling Shepard,NYG,26,WR,10,10,83,57,576,29,397,7,179,3.1,4,14.3,1,1.2
Randall Cobb,DAL,29,WR,15,6,83,55,828,41,499,9.1,329,6,5,11,8,9.6
Greg Olsen,CAR,34,TE,14,14,82,52,597,34,396,7.6,201,3.9,2,26,3,3.7
Deebo Samuel,SFO,23,WR,15,11,81,57,802,32,329,5.8,473,8.3,7,8.1,9,11.1
James Washington,PIT,23,WR,15,10,80,44,735,31,550,12.5,185,4.2,1,44,5,6.3
Auden Tate,CIN,22,WR,12,10,80,40,575,29,455,11.4,120,3,3,13.3,3,3.8
Le'Veon Bell,NYJ,27,RB,15,15,78,66,461,20,21,0.3,440,6.7,12,5.5,2,2.6
Alex Erickson,CIN,27,WR,16,6,78,43,529,26,265,6.2,264,6.1,3,14.3,2,2.6
Hunter Henry,LAC,25,TE,12,12,76,55,652,36,488,8.9,164,3,0,,4,5.3
Russell Gage,ATL,23,WR,16,4,74,49,446,25,295,6,151,3.1,0,,0,0
Saquon Barkley,NYG,22,RB,13,13,73,52,438,14,0,0,438,8.4,8,6.5,4,5.5
Alshon Jeffery,PHI,29,WR,10,10,73,43,490,36,379,8.8,111,2.6,0,,3,4.1
Jack Doyle,IND,29,TE,16,16,72,43,448,29,232,5.4,216,5,0,,3,4.2
Brandin Cooks,LAR,26,WR,14,14,72,42,583,32,414,9.9,169,4,0,,4,5.6
Zach Pascal,IND,25,WR,16,13,72,41,607,29,372,9.1,235,5.7,3,13.7,3,4.2
Ezekiel Elliott,DAL,24,RB,16,16,71,54,420,21,25,0.5,395,7.3,6,9,4,5.6
Will Fuller,HOU,25,WR,11,11,71,49,670,26,451,9.2,219,4.5,2,24.5,5,7
Hunter Renfrow,OAK,24,WR,13,4,71,49,605,30,304,6.2,301,6.1,5,9.8,4,5.6
Marquise Brown,BAL,22,WR,14,11,71,46,584,24,358,7.8,226,4.9,3,15.3,2,2.8
Devonta Freeman,ATL,27,RB,14,14,70,59,410,17,66,1.1,344,5.8,0,,1,1.4
JuJu Smith-Schuster,PIT,23,WR,12,12,70,42,552,23,323,7.7,229,5.5,0,,5,7.1
Corey Davis,TEN,24,WR,15,11,69,43,601,33,360,8.4,241,5.6,8,5.4,4,5.8
Nelson Agholor,PHI,26,WR,11,10,69,39,363,17,237,6.1,126,3.2,4,9.8,4,5.8
Breshad Perriman,TAM,26,WR,14,4,69,36,645,29,518,14.4,127,3.5,1,36,0,0
Kenyan Drake,2TM,25,RB,14,10,68,50,345,15,-79,-1.6,424,8.5,2,25,3,4.4
Aaron Jones,GNB,25,RB,16,16,68,49,474,18,41,0.8,433,8.8,10,4.9,2,2.9
T.Y. Hilton,IND,30,WR,10,10,68,45,501,24,288,6.4,213,4.7,2,22.5,3,4.4
Evan Engram,NYG,25,TE,8,6,68,44,467,23,215,4.9,252,5.7,2,22,3,4.4
Noah Fant,DEN,22,TE,16,11,66,40,562,23,232,5.8,330,8.3,3,13.3,5,7.6
Jared Cook,NOR,32,TE,14,7,65,43,705,32,451,10.5,254,5.9,3,14.3,4,6.2
Tyrell Williams,OAK,27,WR,14,12,64,42,651,33,461,11,190,4.5,1,42,5,7.8
Dalvin Cook,MIN,24,RB,14,14,63,53,519,26,-72,-1.4,591,11.2,9,5.9,7,11.1
Miles Sanders,PHI,22,RB,16,11,63,50,509,19,89,1.8,420,8.4,4,12.5,3,4.8
Tyler Eifert,CIN,29,TE,16,4,63,43,436,24,312,7.3,124,2.9,1,43,5,7.9
Duke Johnson,HOU,26,RB,16,2,62,44,410,18,49,1.1,361,8.2,9,4.9,1,1.6
Albert Wilson,MIA,27,WR,13,4,62,43,351,22,172,4,179,4.2,1,43,5,8.1
Jimmy Graham,GNB,33,TE,16,10,60,38,447,23,204,5.4,243,6.4,2,19,2,3.3
