player,team,age,position,games,games_started,targets,receptions,Catch%,yards,Y/R,td,1D,Lng,Y/Tgt,R/G,Y/G,fumbles,YBC,YBC/R,YAC,YAC/R,Broken Tackles,Rec/BR,Drops,Drop%
Rex Burkhead,NWE,29,,13,1,38,27,0.711,279,10.3,0,10,32,7.3,2.1,21.5,1,50,1.9,229,8.5,3,9,2,5.3
James Conner,PIT,24,RB,10,10,38,34,0.895,251,7.4,3,14,26,6.6,3.4,25.1,1,-47,-1.4,298,8.8,8,4.3,1,2.6
Damien Williams,KAN,27,rb,11,6,37,30,0.811,213,7.1,2,10,32,5.8,2.7,19.4,1,-17,-0.6,230,7.7,5,6,2,5.4
Keke Coutee,HOU,22,,9,4,36,22,0.611,254,11.5,0,10,51,7.1,2.4,28.2,1,114,5.2,140,6.4,3,7.3,1,2.8
Bennie Fowler,NYG,28,,8,2,36,23,0.639,193,8.4,0,12,17,5.4,2.9,24.1,0,164,7.1,29,1.3,1,23,2,5.6
Josh Hill,NOR,29,TE,16,11,35,25,0.714,226,9,3,13,29,6.5,1.6,14.1,0,67,2.7,159,6.4,0,,1,2.9
David Montgomery,CHI,22,rb,16,8,35,25,0.714,185,7.4,1,7,30,5.3,1.6,11.6,2,29,1.2,156,6.2,6,4.2,2,5.7
Keelan Cole,JAX,26,,16,1,35,24,0.686,361,15,3,19,55,10.3,1.5,22.6,0,262,10.9,99,4.1,0,,1,2.9
Seth Roberts,BAL,28,,16,0,35,21,0.6,271,12.9,2,18,33,7.7,1.3,16.9,0,201,9.6,70,3.3,0,,0,0
Tajae Sharpe,TEN,25,WR,15,6,35,25,0.714,329,13.2,4,20,47,9.4,1.7,21.9,0,271,10.8,58,2.3,0,,0,0
Isaiah Ford,MIA,23,,8,0,35,23,0.657,244,10.6,0,16,28,7,2.9,30.5,0,158,6.9,86,3.7,4,5.8,1,2.9
David Moore,SEA,24,,14,1,34,17,0.5,301,17.7,2,14,60,8.9,1.2,21.5,2,173,10.2,128,7.5,3,5.7,1,2.9
LeSean McCoy,KAN,31,RB,13,9,34,28,0.824,181,6.5,1,6,23,5.3,2.2,13.9,3,-55,-2,236,8.4,1,28,1,2.9
Pharoh Cooper,2TM,24,,13,1,33,25,0.758,243,9.7,1,10,28,7.4,1.9,18.7,0,173,6.9,70,2.8,0,,1,3
Jakeem Grant,MIA,27,,10,2,33,19,0.576,164,8.6,0,9,18,5,1.9,16.4,2,77,4.1,87,4.6,0,,1,3
Marcus Johnson,IND,25,WR,8,6,33,17,0.515,277,16.3,2,12,50,8.4,2.1,34.6,0,234,13.8,43,2.5,0,,3,9.1
Dion Lewis,TEN,29,,16,1,32,25,0.781,164,6.6,1,7,24,5.1,1.6,10.3,1,-29,-1.2,193,7.7,2,12.5,2,6.3
Ty Johnson,DET,22,,16,1,31,24,0.774,109,4.5,0,4,13,3.5,1.5,6.8,1,22,0.9,87,3.6,1,24,2,6.5
Vyncint Smith,NYJ,23,,13,4,31,17,0.548,225,13.2,0,11,37,7.3,1.3,17.3,1,120,7.1,105,6.2,2,8.5,2,6.5
Tim Patrick,DEN,26,,8,2,31,16,0.516,218,13.6,0,14,38,7,2,27.3,0,180,11.3,38,2.4,1,16,1,3.2
Delanie Walker,TEN,35,,7,4,31,21,0.677,215,10.2,2,11,29,6.9,3,30.7,1,149,7.1,66,3.1,0,,2,6.5
Ian Thomas,CAR,23,,16,3,30,16,0.533,136,8.5,1,10,19,4.5,1,8.5,0,63,3.9,73,4.6,0,,3,10
Patrick Laird,MIA,24,,15,4,30,23,0.767,204,8.9,0,13,21,6.8,1.5,13.6,0,28,1.2,176,7.7,2,11.5,2,6.7
Tevin Coleman,SFO,26,RB,14,11,30,21,0.7,180,8.6,1,9,37,6,1.5,12.9,0,-24,-1.1,204,9.7,0,,2,6.7
Mark Ingram,BAL,30,RB,15,15,29,26,0.897,247,9.5,5,16,25,8.5,1.7,16.5,2,27,1,220,8.5,2,13,0,0
